"%s already exist","%s вече съществува"
"%s already exists","%s вече съществува"
"-- Please Select --","- Моля изберете --"
"Enabled for Frontend","Активирано за фронтенд"
"Error in file: ""%s"" - %s","Грешка в файл: ""%s"" - %s"
"Error while saving. Please try again later.","Грешка при записване. Моля опитайте отново по-късно."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","Email подател на Забравена парола"
"Forgot Password Email Template","Email Шаблон на Забравена парола"
"General","Общи"
"General Settings","Общи настройки"
"General contact","Общи контакти"
"Global","Глобално"
"HTML Head","HTML Head"
"Header","Header"
"Host","Хост"
"Id path for specified store","Id пътека за конкретния магазин"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Невалиден базов URL"
"Invalid block name to set child %s: %s","Невалидно име на блок за под елемент %s :%s"
"Invalid block type: %s","Невалиден тип блок: %s"
"Invalid block: %s","Невалиден блок:%s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Невалидна аргумент за обновяване на оформлението, очаква се Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Не може да обнови въпросното оформление"
"Invalid messages storage ""%s"" for layout messages initialization","Невалиден склад за съобщения ""%s"" за оформлението на инициализиращите съобщения"
"Invalid transactional email code: ","Грешен код на оперативен имейл: "
"Invalid websites configuration path: %s","Невалидна пътека за конфигурация на уебсайтове : %s"
"Layout","Оформление"
"Layouts","Layouts"
"Leave empty for access from any location","Оставете празно за достъп от всяка точка"
"Locale","Локализация"
"Locale options","Опции за локализация"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Управление на магазини"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Не съществува модел с клас  :%s"
"Model collection resource name is not defined","Името на склада за модели не е определено"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Име"
"New Design Change","Нов промяна по дизайна"
"New Store","Нов Магазин"
"New Store View","Нов изглед на магазин"
"New Website","Нов уебсайт"
"No","No"
"Package","Пакет"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Моля въведете 6 или повече символа."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Моля въведете 6 или повече символа. Водещи или висящи празни пространства ще бъдат игнорирани."
"Please enter a number greater than 0 in this field.","Моля въведете номер по-голям от 0 в това поле"
"Please enter a valid $ amount. For example $100.00.","Моля въведете валидна $ сума. Например $100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Моля въведете валиден URL. Например http://www.example.com или www.example.com"
"Please enter a valid URL. http:// is required","Моля въведете валиден URL. http:// е задължително"
"Please enter a valid credit card number.","Моля въведете валиден номер на кредитна карта."
"Please enter a valid date.","Моля въведете валидна дата."
"Please enter a valid email address. For example johndoe@domain.com.","Моля въведете валиден имейл адрес. Пример johndoe@domain.com."
"Please enter a valid number in this field.","Моля въведете валиден номер в това поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Моля въведете валиден телефонен номер. Например (123) 456-7890 или 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Моля въведете валидна социална осигуровка. Например 123-45-6789."
"Please enter a valid zip code.","Моля въведете валиден пощенски код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Моля въведете валиден пощенски код. Например 90602 или 90602-1234."
"Please enter valid password.","Моля въведете валидна парола."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Моля уверете се, че вашите пароли съвпадат."
"Please select State/Province.","Моля изберете щат / провинция."
"Please select an option.","Моля изберете опция."
"Please select one of the above options.","Моля изберете една от горните опции."
"Please select one of the options.","Моля изберете една от опциите."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Моля използвайте само букви (A-Z) в това поле"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Моля използвайте номера само в тази област. Моля избягвайте интервали, или други символи, като например точки или запетаи."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Моля използвайте само букви (A-Z) или цифри (0-9) само в тази област. Не са позволени интервали или други знаци."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Моля използвайте само букви (A-Z) или цифри (0-9) или интервали и # само в това поле."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Моля използвайте само букви (A-Z), цифри (0-9) или долна черта (_) в това поле, първият символ трябва да бъде буква."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Моля използвайте този формат на дата: дд/мм/гггг. Например 17/03/2006 за 17-ти март 2006 година."
"Please wait, loading...","Моля изчакайте, зарежда се ..."
"Polls","Polls"
"Port (25)","Порт (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Искана пътека за въпросния магазин"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Ресурсът не е указан"
"Root Category","Базова Категория"
"SMTP settings (Windows server only)","SMTP настройки (само за Windows Server)"
"Sales representative","Търговски представител"
"Save","Запази"
"Save Store","Запази магазина"
"Save Store View","Запази изгледа на магазина"
"Save Website","Запази уебсайта"
"Search Engines Optimization","Оптимизация за Търсачки"
"Secure","Защитено"
"Security","Security"
"Select Date","Select Date"
"Sender email","Email на подател"
"Sender name","Име на подател"
"Services","Услуги"
"Session Cookie management","Управление на бисквитките на сесията"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Сложи по подразбиране"
"Skin (Images / CSS)","Кожи (изображения / CSS)"
"Sort order","Ред на сортиране"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Началната дата не може да е по-голяма от крайната дата"
"Startup page","Startup page"
"Status","Състояние"
"Store","Магазин"
"Store Email Addresses","Email адреси за магазина"
"Store Information","Информация за магазина"
"Store Name","Име на Магазина"
"Store View","Store View"
"Store View Information","Информация за изгледа на магазина."
"Store View Name","Име на изгледа на магазина."
"Store View was successfully saved","Изгледът на магазина беше успешно записан."
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код на магазина трябва да съдържа само букви (A-Z), цифри (0-9) или долна черта (_), първият символ следва да бъде буква."
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Магазинът беше успешно изтрит."
"Store was successfully saved","Магазинът беше успешно записан."
"Store with the same code","Магазин със същия код ."
"System","Система."
"System Log File Name","System Log File Name"
"Template Path Hints","Съвети за пътечката на шаблон."
"Templates","Шаблони."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Теми"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Само тази категория"
"This is a required field.","Това поле е задължително."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Часова зона"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Преводи"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Не може да продължи. Моля, опитайте отново."
"Unknown scope ""%s""","Неизвестен обхват ""%s"""
"Unsecure","Незащитено"
"Url Options","Url Опции"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Използвайте Secure URL в Admin"
"Use Secure URLs in Frontend","Използвайте Secure URL в Фронтенд"
"Use Web Server Rewrites","Използвай Web Server Rewrites"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Уеб"
"Website","Уебсайт"
"Website Information","Информация за уебсайт"
"Website Name","Име на Уебсайт"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Кодът на уебсайта трябва да съдържа само букви (A-Z), цифри (0-9) или долна черта (_), първият символ трябва да бъде буква."
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Уебсайтът беше успешно изтрит."
"Website was successfully saved","Уебсайтът беше успешно записан."
"Website with the same code","Уебсайт със същия код."
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Грешен брой аргументи за %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Вашата сесия е изтекла, ще бъдете логнати отново."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
