"Catalog New Products List","Katalog ny produktlista"
"Minimum Qty for Item\'s Status to be Out of Stock","Minsta antal innan lagerstatus ändras till ""Slut i lager"""
"Select Configurable Attributes ","Välj konfigurerbara attribut"
"Please add rows to option.","Vänligen lägg till rad för valet."
"Invalid attribute %s.","Ogiltigt attribut %s."
"Quick Create","Snabbskapa"
"Edit Set Name","Redigera, sätt namn"
"Prev","Föregående"
"Learn More","Läs mer"
"Country/State","Land/Region"
"each","varje"
"New Products","Nya produkter"
"First Name","Förnamn"
"Cannot create image.","Kan inte skapa bild"
"Url Rewrite Management","Hantera URL-omskrivningar"
"Declare attribute value saving scope","Deklarera sparningsomfång för attributvärde"
"An error occurred while saving the collection, aborting. Error message: %s","Ett fel uppstod när kollektionen sparades, avbryter. Felmeddelande: %s"
"The product has required options","Produkten har obligatoriska val"
"Categories Sitemap","Webbkarta för kategorier"
"Value for ""%s"" is invalid: %s","Värdet för ""%s"" är ogiltig: %s"
"Show Details","Visa detaljer"
"Associated Products","Associerade produkter"
"Tile","Titel"
"Retrieve attribute data","Hämta attributdata"
"Add New Attribute Set","Lägg till ny attributmängd"
"Static","Statisk"
"Product Image Watermarks","Vattenmärken för produktbild"
"Manage Options (values of your attribute)","Hantera alternativ (dina attributs värden)"
"Root","Rot"
"Number of Products to Display","Antal produkter att visa"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Om du inte anger ett värde för valet på butiksvynivå kommer det förvalda (Admin) värdet användas."
"Products Comparison List","Produktjämförelselista"
"Depends on design theme","Beroende av designtema"
"Invalid option ID specified for %s (%s), skipping the record.","Ogiltigt alternativid specificerad för %s (%s), hoppar över posten."
"Change status","Ändra status"
"AM","Förmiddag"
"Wrong option type to get group instance.","Felaktig valtyp för att hämta grupp instans"
"Sort Order","Sortering"
"Error during retrieval of option value: %s","Ett fel uppstod när alternativvärdet skulle hämtas för: %s"
"Backend Table Title","Tabelltitel för administrationsdelen"
"Unassigned Attributes","Otilldelade attribut"
"Retrieve product tier prices","Hämta stafflade priser för produkt"
"Create Simple Associated Product","Skapa enkel relaterad produkt"
"select all","välj alla"
"No image","Ingen bild"
"Get special price","Få specialpris"
"Catalog Category (Non-Anchor)","Katalog kategori (icke ankare)"
"Use Flat Catalog Category","Använd flat kategoritabell"
"Delete Attribute","Ta bort attribut"
"An invalid option ID is specified for %s (%s), skipping the record.","Ett ogiltigt alternativ id är specificerad  för %s (%s), hoppar över rad."
"There are no customers for this alert","Inga kunder prenumererar på denna bevakning."
"Category Top Navigation","Kategorier toppnavigering"
"(Copy data from: %s)","(Kopiera data från: %s)"
"Visible on Product View Page on Front-end","Synlig på kunddelens produktsidor"
"Skip import row, required field ""%s"" for the new customer is not defined.","Hoppar över importrad, obligatorisk fält ""%s"" för den nya kunden är inte angiven."
"Attribute Set","Attributmängd"
"Total incl. Tax: %1$s","Summa inkl. moms: %1$s"
"Retrieve linked products","Hämta länkade produkter"
"Add Product","Lägg till produkt"
"Super product attributes configuration","Konfiguration av superattribut för produkt"
"Product Link Inline Template","Produktlänk Inline mall"
"Maximal Depth","Maximalt djup"
"Save and Continue Edit","Spara och fortsätt ändra"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Vår kundservice är tillgänglig 24/7. Ring oss på (555) 555-0123."
"Incl. Tax","Inkl moms"
"Products per Page on List Allowed Values","Produkter per sida i listnät, tillåtna värden"
"Duplicate website tier price customer group and quantity.","Duplicera kundgrupp och kvantitet för webbplatsens nivåpris."
"Please specify the product\'s option(s).","Vänligen ange produktens obligatoriska val"
"Inventory","Lageralternativ"
"Comparable on Front-end","Jämförbar i kunddelen"
"You have exceeded limit of %d sends in an hour.","Du har överskridit gränsen på %d sändningar på en timme."
"More Views","Fler bilder"
"Feature Products","Kampanjproduker"
"Bottom/Right","Nedre del/Höger"
"Update Tier Price","Uppdatera stafflade priser"
"Customer Group","Kundgrupp"
"Allowed File Extensions","Tillåtna filtyper"
"The image is not specified.","Bilden är inte angiven."
"Catalog Section","Katalogdel"
"Use default","Använd förvalt"
"Set Descending Direction","Fallande ordning"
"Please select one or more attributes.","Vänligen välj ett eller flera attribut."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Detta attribut används i konfigurerbara produkter. Du kan inte ta bort det från attributmängden."
"Related Products","Relaterade produkter"
"Product","Produkt"
"Link to a Specified Category","Länk till en specifik kategori"
"Back","Tillbaka"
"Unable to find an attribute to delete.","Det gick inte att hitta ett attribut att ta bort."
"Retrieve product image types","Hämta typer för produktbilder"
"Add to Compare","Lägg till jämförelse"
"The attribute model is not defined","Attribut model är inte definerad"
"Product Type","Produkttyp"
"Minimum Lines per Page","Minimiantal, rader per sida"
"Searchable","Sökbar"
"Pending","Avvaktande"
"Invalid Tier Prices","Felaktigt Stafflat Pris"
"Quantity","Antal"
"Edit Search","Ändra sök"
"Price","Pris"
"Last Name","Efternamn"
"Copy From Configurable","Kopiera från konfigurerbar"
"[GLOBAL]","[GLOBALT]"
"New Product","Ny produkt"
"For internal use.","För internt bruk."
"Can be used only with catalog input type Dropdown","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny"
"Update product tier prices","Uppdatera produkt stafflade priser"
"Date Subscribed","Prenumeration påbörjades"
"An error occurred while saving the URL rewrite.","Ett fel uppstod när URL omskrivningen sparade."
"The product has been duplicated.","Produkten har duplicerats."
"Catalog, Search","Katalog, sök"
"Use in Quick Search","Använd i snabbsökning"
"Shopping Options","Alternativ för att handla"
"Assign product link","Tilldela produktlänk"
"This is a required option","Detta är ett obligatoriskt val"
"Reset","Nollställ"
"Add New","Lägg till ny"
"Starting at:","Börjar på:"
"Product Extra Info","Produkt extra info"
"Manage Label / Options","Hantera etiketter / alternativ"
"Save","Spara"
"Notify for Quantity Below","Meddelade när lagersaldo är under"
"If empty, the Category Name will be used","Om tomt, kommer kategorins namn att användas"
"Delete category","Ta bort kategori"
"Are you sure you want to delete this category?","Är du säker på att du vill ta bort denna kategori?"
"Invalid category.","Ogiltig kategori."
"Change or Retrieve attribute store view","Ändra eller hämta attributbutiksvy"
"A product type is not defined for the indexer.","En produkttyp är inte definerad för indexeraren."
"Websites","Webbplatser"
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Några av produkterna nedan har inte alla obligatoriska val. Vänligen ta bort dem och lägg till de igen med alla obligatoriska val."
"Redirect URL","URL för omdirigering"
"Empty","Tom"
"Price: %s","Pris: %s"
"Link product does not exist.","Produktlänk finns inte."
"Create Permanent Redirect for old URLs if Url key changed","Skapa 301 redirect för gamla URL:er om URL-key är ändrat"
"save","Spara"
"New Subcategory","Ny underkategori"
"Gallery","Galleri"
"Catalog","Katalog"
"Use Default Value","Använd förvalt värde"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definierar basvalutans omfång (""Valuta inställningar""> ""Valuta alternativ""> ""Basvaluta"")."
"An error occurred while updating the product(s) status.","Ett fel uppstod när produkternas status uppdaterades."
"The text is too long","Texten är för lång"
"Category Products","Produkter i kategori"
"%1$s incl tax.","%1$s inkl moms.."
"View as","Visa som"
"Skip import row, is not valid value ""%s"" for field ""%s""","Hoppar över importrad, ""%s"" är inte ett giltigt värde för fältet ""%s"""
"Attribute Model","Attributmodell"
"Top/Left","Överst/Vänster"
"Retrieve hierarchical tree","Hämta hierarkiskt träd"
"Add New Search Term","Lägg till ny sökterm"
"Stretch","Tänj"
"Product Information","Information om produkt"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg, etc.)"
"Save Search","Spara sökning"
"Options is required","Alternativ krävs"
"Image type and information need to be specified for each store view.","Typ och information för bild måste anges för varje butiksvy."
"Products per Page on Grid Allowed Values","Produkter per sida i rutnät, tillåtna värden"
"Double click on a group to rename it","Dubbelklicka på en grupp för att ändra dess namn"
"Please specify the product required option(s).","Vänligen ange produktens obligatoriska val"
"Invalid tier prices. The product is not associated to the requested website.","Ogiltiga stafflade priser. Produkten är inte associerat till den begärda webbsidan."
"Comparable","Jämförbar"
"You cannot remove system attribute from this set.","Du kan inte ta bort systemattribut från denna mängd."
"Failed to move file: %s","Misslyckades med att flytta filen %s"
"Block after Info Column","Block efter Infokolumn"
"Update","Uppdatera"
"Currently Shopping by:","Shoppas just nu av:"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alla produkter tillhörande denna mängd kommer tas bort! Är du säker att du vill ta bort denna attributmängd?"
"The filters must be an array.","Filtret måste vara en array."
"Product with this combination of attributes already associated to configurable.","Det existerar redan en produkt som är relaterad med konfigurerbar och som har samma kombination av attribut."
"Use To Create Configurable Product","Använd för att skapa konfigurerbar produkt"
"Send Count","Leveransräknare"
"Please select a static block ...","Vänligen välj ett statiskt block..."
"This attribute cannot be edited.","Detta attribut kan inte ändras."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori måste vara en instans av Mage_Catalog_Model_Category."
"A group with the same name already exists.","En grupp med samma namn finns redan."
"Website","Webbplats"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Hoppar över importrad, ""%s"" är inte ett giltigt värde för fältet ""%s"""
"Autogenerate","Autogenerera"
"Unable to complete this request.","Kan inte slutföra förfrågan."
"Retrieve product image","Hämta produktbild"
"Add to Cart","Lägg i varukorgen"
"Tax","Moms"
"Product Reviews","Produktrecensioner"
"Maximum number of characters:","Maximalt antal tecken:"
"Search Term with such search query already exists.","Sökterm med sådan sökfrågan finns redan."
"Parent Category","Föräldrakatalog"
"Indexed category/products association","Indexerade kategori/produkter association"
"Properties","Egenskaper"
"Edit Product Attribute ""%s""","Redigera produktattribut ""%s"""
"Position of attribute in layered navigation block","Placering av attribut i lagerbaserad navigationsblock"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produkter som du vill dölja i katalogen eller i sökresultaten bör ha statusen 'Inaktiv' i önskad butik."
"Configurable Product","Konfigurerbar produkt"
"Zoom Out","Zooma ut"
"Name","Namn"
"Filterable (no results)","Filtrerbar (inga resultat)"
"Cache Lifetime (Seconds)","Cache livslängd (sekunder)"
"Update product image","Uppdatera produktbild"
"Date & Time Custom Options","Datum & Tid för anpassade val"
"Allowed file extensions to upload","Tillåtna filtyper för uppladdning"
"The product has been created.","Produkten har skapats."
"Catalog Seo Sitemap (Product List)","Katalog SEO Sitemap (Produktlista)"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Använd i lagerbaserad navigation<br />(Kan endast användas med indatatyp 'Rullgardinsmeny')"
"Settings","Inställningar"
"As low as:","Så lågt som:"
"This search no longer exists.","Denna sök finns inte längre."
"Remove product image","Ta bort produktbild"
"Add Design Change","Lägg till designändring"
"Special Price:","Specialpris:"
"Product Categories","Produktkategorier"
"Manage Attributes","Hantera attribut"
"Not Visible Individually","Ej individuellt"
"Groups","Grupper"
"Catalog Product Email to a Friend","Produktkatalog e-posta en vän"
"Delete Search","Ta bort sökning"
"Apply To","Tillämpa på"
"Selected Product Types","Valda produkttyper"
"Please enter a new group name","Vänligen skriv in ett nytt namn för gruppen"
"Invalid block: %s.","Ogiltigt block: %s."
"Redirect","Omdirigera"
"Email to a Friend","E-posta till en vän"
"Price values for options should be specified in system base currency.","Prisvärden för alternativ bör anges i systemets basvaluta"
"Line %d, SKU: %s","Rad %d, artikelnummer: %s"
"Create Empty","Skapa tom"
"per page","per sida"
"New Set Name","Nytt mängdnamn"
"Frontend Properties","Egenskaper för kunddelen"
"Cart Item Attribute","Attribut för artikel i kundkorg"
"Use Categories Path for Product URLs","Använd sökväg för kategorier för produkt-URL:er"
"Default Price","Förvalt pris"
"An error occurred while saving the product. ","Ett fel uppstod medan produkten sparades."
"The review was removed by another user or does not exist.","Recensionen har tagits bort av en annan användare eller finns inte."
"Category Data","Kategoridata"
"Maximum number of characters","Maximalt antal tecken"
"Visibility","Synlighet"
"Simple Product","Enkel produkt"
"Attribute Information","Information om attribut"
"Title","Titel"
"Retrieve category attributes","Hämta kategoriattributer"
"Add New Option","Lätt till nytt val"
"Store","Butik"
"Product Info Column","Produkt infokolumn"
"Manage Products","Hantera produkter"
"Save Category","Spara kategori"
"Old Price:","Tidigare pris:"
"Image file was not found.","Bildfilen hittades inte."
"Products Sitemap","Webbkarta för produkter"
"Disallowed file type.","Nekad filtyp."
"Please specify date required option(s).","Vänligen ange obligatorisk(a) datum."
"Invalid product type specified, skipping the record.","Ogiltig produkttyp angiven, hoppar över importrad."
"Collapse All","Fäll ihop alla"
"You cannot email this product to a friend.","Du kan inte maila denna länk till en vän."
"Exclude","Uteslut"
"Based On","Baserad på"
"Unsupported product type ""%s"".","Produkttypen ""%s"" stöds inte."
"Retrieve products data","Hämta produkters data"
"Cross-sells","Korsförsäljning"
"All","Alla"
"The comparison list was cleared.","Jämförelselistan nollställdes."
"Product links API (related, cross sells, up sells)","Produktlänkar API (relaterade, korssälj, uppsälj)"
"Use JavaScript Calendar","Använd JavaScript-kalender"
"Delete Option","Ta bort alternativ"
"Anchor Custom Title","Anpassad ankartitel"
"This Attribute no longer exists","Detta attribut existerar inte längre"
"Category move error","Fel uppstod när kategorin skulle flyttas"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 som standard, om inte satt. För att uppdatera omedelbart, töm Blocks HTML output-cache."
"Watermark Opacity, Percent","Genomskinlighet för vattenmärke, procent"
"Skipping import row, required field ""%s"" is not defined.","Hoppar över importrad, obligatoriskt fält ""%s"" är inte definerad."
"Attributes","Attribut"
"Type","Typ"
"Retrieve product","Hämta produkt"
"Add Subcategory","Lägg till underkategori"
"Tag Name","Etikettnamn"
"Product Name","Produktnamn"
"Maximum image height","Maximal bildhöjd"
"Scope","Omfång"
"PM","Eftermiddag"
"Index product and categories URL rewrites","Index för produkt- och kategori URLomskrivningar"
"Qty Increments","Antal steg"
"Edit","Ändra"
"Position in Layered Navigation","Placering i lagerbaserad navigation"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"Compare Products","Jämför produkter"
"You may also be interested in the following product(s)","Du kanske även är intresserad av följande produkt(er)?"
"Must be in the allowed values list.","Måste finnas i listan över tillåtna värden."
"Filter model name must be declared.","Namn för filter model måste vara deklarerat."
"Buy %1$s for %2$s","Köp %1$s för %2$s"
"Update category","Uppdatera kategori"
"Customers for alert %s were successfuly added to queue","Kunden för notifieringen %s har utan problem lagts till i kön"
"An error occurred while adding products to websites.","Ett fel uppstod när produkter lades till webbsidan."
"The product attribute has been saved.","Produktattributet har sparats."
"Catalog Seo Sitemap (Category Tree)","Katalog SEO Sitemap (Katalogträd)"
"Use four-digit year format.","Använd fyrsiffrigt årformat."
"Set root category for this store in the <a href=""%s"">configuration</a>","Ange rootkategori för denna butik i <a href=""%s"">konfigurationen</a>"
"Are you sure?","Är du säker?"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Denna grupp innehåller attribut som används i konfigurerbara produkter. Vänligen flytta dessa attribut till en annan grupp och försök igen."
"Remove This Item","Ta bort denna artikel"
"Special Expires On: %s","Special går ut den: %s"
"Product Attribute","Produktattribut"
"List of Products that are set as New","Lista med produkter som är satta som nya"
"No options of this product are available.","Inga alternativ är tillgängliga för denna produkt."
"Go to Home Page","Gå till hemsidan"
"Catalog Category Link","Katalogkategori länk"
"The category has been deleted.","Kategorin har tagits bort"
"Product attributes API","Produktattribute API"
"Select Product...","Välj produkt..."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","När du klickar på raden kommer paketdata från den valda filen laddas och all osparad data förloras."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ogiltigt attributvärde för det angivna attributet %s (%s), hoppar över posten."
"Quick Overview","Översikt"
"Email","E-post"
"Price is not available","Pris finns inte tillgängligt"
"Layered Navigation","Lagerbaserad navigation"
"Create","Skapa"
"categories","kategorier"
"New Products List Template","Listmall för nya produkter"
"Frontend Model","Modell för kunddelen"
"Can\'t create image.","Kan inte skapa bild"
"Use Canonical Link Meta Tag For Categories","Använd canonical URL:ar för kategorier."
"Default Qty","Förvalt antal"
"An error occurred while saving this group.","Ett fel uppstod när gruppen sparades."
"The review has been deleted","Recensionen har tagits bort"
"Category API","Kategory API"
"Value for ""%s"" is invalid.","Värdet för ""%s"" är ogiltigt."
"Show","Visa"
"Attrib. Set Name","Namn för attributmängd"
"Time Format","Tidformat"
"Retrieve attribute options","Hämta attributalternativ"
"Add New Group","Lägg till ny grupp"
"Static block only","Endast statiskt block"
"Product Images","Produktbilder"
"Manage Product Attributes","Hantera produktattribut"
"Roll Over for preview","För över musen för förhandsgranskning"
"OR","ELLER"
"Image content is not valid base64 data.","Bildinnehållet är ej giltigt bas 64 data."
"Products Information","Information om produkter"
"Details","Detaljer"
"Invalid image type.","Ogiltig bildtyp."
"Clear All","Avmarkera alla"
"Action","Åtgärd"
"Wrong product type filter specified","Fel produkttyp filter specificerade"
"Enabled","Aktiverad"
"Backend Table","Tabell för administrationsdelen"
"Unknown EAV indexer type ""%s"".","Okänd EAV indexerare av typen ""%s""."
"Reviews","Recensioner"
"Alert Urls","Varna URL:er"
"No","Nej"
"Globally Editable","Globalt ändringsbar"
"Catalog Price Scope","Omfång för katalogpris"
"Use In Layered Navigation","Använd i lagerbaserad navigation"
"Delete Attribute Set","Ta bort attributmängd"
"An invalid store was specified.","En ogiltig butik angavs."
"There are no customers for this alert.","Det finns inga kunder för denna notifiering."
"Category URL Suffix","Kategori-URL suffix"
"(Will make search for the query above return results for this search.)","Innebär att sökningar på ovanstående sökord ger samma resultat som sökningar på detta."
"Watermark","Vattenmärke"
"Skip import row, the value ""%s"" is invalid for field ""%s""","Hoppar över produktrad, värdet ""%s"" är ogiltigt för fältet ""%s"""
"Attribute group with the \""/name/\"" name already exists","Attributgrupp med samma  \""/namn/\"" namn finns redan"
"Total of %d record(s) have been deleted.","Totalt %d post(er) har tagits bort."
"Retrieve list of assigned products","Hämta lista över tilldelade produkter"
"Add Product To Websites","Lägg till produkt till webbplatser"
"Synonym For","Synonym för"
"Product Listing Sort by","Produktlista, förvald sortering"
"Maximum Image Size","Maximal bildstorlek"
"Search Engine Optimizations","Sökmotoroptimeringar"
"Out of Stock","Slut i lager"
"In stock","I lager"
"Products per Page on List Default Value","Produkter per sida i rutnät, förvalda värden"
"Duplicate","Duplicera"
"Please specify the quantity of product(s).","Vänligen ange antal av produkt(er)."
"Is Default","Är förvalt"
"Comparable on the Frontend","Jämförbar i frontend"
"You have no items to compare.","Du har inga produkter att jämföra."
"Move","Flytta"
"File upload failed","Filuppladdning misslyckades"
"Browse By","Bläddra utifrån"
"Update assigned product","Uppdatera tilldelade produkter"
"Customers Reviews","Kunders recensioner"
"Allow HTML Tags on Frontend","Tillåt HTML taggar i frontend"
"The product %s has been added to comparison list.","Produkten %s har lagts till i jämförelselistan."
"Catalog Seo Popular Search Terms","Katalog SEO populära söktermer"
"Use for Promo Rule Conditions","Använd i villkor för prisregler"
"Set Name","Välj namn"
"Please select product(s).","Vänligen välj produkt(er)."
"This attribute no longer exists","Detta attribut existerar inte längre"
"Remove","Ta bort"
"Product API","Produkt API"
"List","Lista"
"Create new category","Skapa ny kategori"
"Unable to get the product ID.","Kan inte hämta produktid"
"Retrieve product link types","Hämta typer för produktlänkar"
"Add to Wishlist","Lägg till i önskelista"
"The attribute set has been saved.","Attributmängden har sparats."
"Product URL Suffix","Produkt-URL suffix"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tillåtet i varukorg"
"Select Category...","Välj kategori..."
"Percentage","Procent"
"Integer","Heltal"
"Qty:","Antal: "
"Edit Search '%s'","Ändra sök '%s'"
"Previous","Föregående"
"Label","Etikett"
"Continue","Fortsätt"
"ex. http://domain.com","t.ex. http://example.com"
"New Product Attribute","Nytt produktattribut"
"Fixed","Fixerad"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny, flerval eller pris"
"Upload new product image ","Ladda upp ny produktbild"
"Datetime","Datum/tid"
"An error occurred while saving the attribute set.","Ett fel uppstod när attributmängden sparades."
"The product has been saved.","Produkten har sparats."
"Categories","Kategorier"
"Used in Product Listing","Används i produktlistning"
"Shop By","Handla utifrån"
"Assigned Products","Tilldelade produkter"
"Tier Pricing","Prissättning för nivå"
"Results","Resultat"
"Add New Attribute","Lägg till nytt attribut"
"Static block and products","Statiskt block och produkter"
"Product Image Placeholders","Platsbehållare för produktbild"
"Manage Categories","Hantera kategorier"
"SKU","Artikelnummer"
"Number of Uses","Antal träffar"
"If empty, the Product Name will be used","Om tomt, kommer produktens namn att användas"
"Delete product","ta bort produkt"
"Are you sure you would like to remove all products from your comparison?","Är du säker på att du vill ta bort alla produkter från jämförelsen?"
"Invalid image file type.","Ogiltig bildfilstyp"
"Check items to add to the cart or","Markera artiklar att lägga i varukorg eller"
"ALL GROUPS","ALLA GRUPPER"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Vare sig för att visa ""Alla"" i ""Visa X per sida"" i dropdown."
"Sort By","Sortera utifrån"
"Availability:","Tillgängligt: "
"Availability","Tillgängligt"
"Print This Page","Skriv ut denna sida"
"Link to a Specified Product","Länk till en specifik produkt"
"Create Product Settings","Inställningar för att skapa produkt"
"unselect all","välj bort alla"
"Next","Nästa"
"Global","Globalt"
"Catalog Category (Without Subcategories)","Kategori (utan subkategorier)"
"Use Flat Catalog Product","Använd flat produkttabell"
"Delete","Ta bort"
"An error occurred while updating the product(s) attributes.","Ett fel uppstod när produkternas attribut uppdaterardes."
"There are no %s available.","%s är inte tillgängliga."
"Category Link Inline Template","Kategorilänk inline mall"
"%s Item(s)","%s artiklar"
"Visible on Catalog Pages on Front-end","Synlig på kunddelens katalogsidor"
"Sitemap","Sidkarta"
"Attribute Name:","Attributnamn:"
"Total Qty Base Items","Summa basartiklar"
"Retrieve category data","Hämta kategoridata"
"Add New Set","Lägg till ny mängd"
"Subscribe to RSS Feed","Prenumerera på RSS-kanal"
"Product Link Block Template","Produktlänk blockmall"
"Max Characters","Maximalt antal tecken"
"Saved %d record(s)","Sparade %d post(er)"
"Options Control","Hantera alternativ"
"In Stock","I lager"
"Products per Page on Grid Default Value","Produkter per sida i listnät, förvalda värden"
"Double click on above image to view full picture","Dubbelklicka på bilden ovan för att se bilden i originalstorlek"
"Please specify the product\'s required option(s).","Vänligen ange produktens obligatoriska val"
"Invalid transactional email code.","Ogiltig kod för e-postmall."
"Comma-separated.","Komma (,) -separerat."
"You cannot send more than %d emails at a time.","Observera att det inte går att skicka mer än %d mail åt gången."
"Missing SKU, skipping the record.","Saknar artikelnr, hoppar över rad."
"Field is not complete","Fält är inte klar"
"Bottom/Left","Nedre del/Vänster"
"Update Attributes","Uppdatera attribut"
"Custom Options","Anpassade val"
"Allow All Products per Page","Tillåt alla produkter på sidan"
"The image contents is not valid base64 data.","Denna bilds innehåll är inte giltig med base65 data."
"Products","produkter"
"Catalog Product Link","Katalog produktlänk"
"Use Tree Like Category Sitemap","Använd trädstruktur för webbkarta"
"Set Ascending Direction","Stigande ordning"
"Please select items.","Vänligen ange artiklar."
"Regular Price:","Ordinarie pris"
"Enable WYSIWYG","Aktivera WYSIWYG"
"We Also Recommend","Vi rekommenderar även"
"Some of the processed products have no SKU value. Please fill it.","Några av de behandlade produkterna har inget artikelnummer, var god fyll i det."
"Backend Model","Modell för administrationsdelen"
"Unable to find a search term to delete.","Kan inte hitta sökterm att ta bort."
"Retrieve product image list","Hämta produktbildslista"
"Add Tier","Lägg till nivå"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Flat katalogmodulen har en gräns på %2\$d filtrerbara och/eller sorterbara attribut. Just nu finns det %1\$d av dem. Var god minska antal filter-/sökbara attribut för att kunna använda denna modul."
"Product Tier Price API","Prisstafflingar produkt API"
"Media Image","Mediabild"
"Search Query","Sökfråga"
"Pending Reviews RSS","RSS-kanal för recensioner att granska"
"Input Type","Indatatyp"
"Qty for Item\'s Status to become Out of Stock","Antal innan lagerstatus ändras till ""Slut i lager"""
"Edit Product Attribute","Ändra produktattribut"
"Price Navigation Step Calculation","Prisnavigation stegberäkning"
"Last Notification","Senaste meddelande"
"Configurable Product Settings","Inställningar för konfigurerbar produkt"
"and","och"
"Name in %s","Namn i %s"
"Filter must be an object. Please set correct filter.","Filtret måste vara ett objekt. Var god ange rätt filter."
"Cache refresh needed.","Cache-refresh behövs."
"Update product link","Uppdatera produktlänk"
"Date Fields Order","Datumfältordning"
"An error occurred while removing products from websites.","Ett fel uppstod när produkterna togs bort från websites."
"The product has been deleted.","Produkten har tagits bort."
"Catalog URL Rewrites","Katalog URL omskrivningar"
"Used for Sorting in Product Listing","Används för sortering i produktlistor"
"Set/Get current store view","Ange/hämta nuvarande butiksvy"
"Assign product to category","Tilldela produkt till kategori"
"This product no longer exists.","Produkten finns inte längre."
"Remove product link","Ta bort produktlänk"
"Add Group","Lägg till grupp"
"Special Price: %s","Specialpris: %s"
"Product Description","Produktbeskrivning"
"Manage Attribute Sets","Hantera attributmängder"
"Retrieve product types","Hämta produkttyper"
