"%s was successfully added to your shopping cart.","%s προστέθηκε επιτυχώς στο καλάθι σας."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Παρακαλούμε εισάγετε σωστό ταχ. κωδικό. Π.χ. 54645"
"Please select shipping methods for all addresses","Παρακαλούμε επιλέξτε μεθόδους αποστολής για όλες τις διευθύνσεις"
"Please select region, state or province","Παρακαλούμε επιλέξτε νομό ή επαρχία"
"Please specify the product(s) quantity","Παρακαλούμε προσδιορίστε την ποσότητα προϊόντος(ων)"
"Please specify the product option(s)","Παρακαλούμε προσδιορίστε τις επιλογές(η) των προϊόντων"
"Store Pickup","Παραλαβή από το Κατάστημα"
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Πατήστε <a href=""%s"" target=""_blank"">εδώ για εκτύπωση</a> αντίγραφου της επιβεβαίωσης παραγγελίας σας."
"Qty","Ποσ."
"City","Πόλη"
"My Cart Link","Σύνδεσμος στο Καλάθι μου"
"Total for this address","Σύνολο για αυτήν τη διεύθυνση"
"Payment Information","Στοιχεία Πληρωμής"
"Billing Information","Στοιχεία Χρέωσης"
"Billing Information - %s","Στοιχεία Χρέωσης - %s"
"Shipping Information","Στοιχεία Αποστολής"
"Sorry, no quotes are available for this order at this time.","Συγγνώμη, δεν υπάρχουν διαθέσιμες εκτιμήσεις για αυτή τη παραγγελία αυτή τη στιγμή."
"Continue","Συνέχεια"
"Continue to Review Your Order","Συνέχεια για Ανασκόπηση της Παραγγελίας σας"
"Continue to Shipping Information","Συνέχεια στα Στοιχεία Αποστολής"
"Proceed to Checkout","Συνέχεια στην Ολοκλήρωση Αγορών"
"Continue to Billing Information","Συνέχεια στις Πληροφορίες Χρέωσης"
"Continue Shopping","Συνέχεια Αγορών"
"Zip/Postal Code","Ταχυδρομικός Κωδικός"
"Telephone","Τηλέφωνο"
"Price","Τιμή"
"Unit Price","Τιμή Μονάδος"
"Your order # is: %s","Το # της παραγγελίας σας είναι: %s"
"My Cart (%s item)","Το Καλάθι μου (%s αντικείμενα)"
"Shopping Cart is Empty","Το Καλάθι σας είναι Άδειο"
"Product does not exist","Το προϊόν δεν υπάρχει"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Υπάρχουν<a href=""%s""><strong>%s αντικείμενα</strong></a> στο καλάθι σας."
"There is already a customer registered using this email address","Υπάρχει ήδη ένας εγγεγραμμένος πελάτης με αυτό το email"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Υπάρχει<a href=""%s""><strong>1 αντικείμενο</strong></a> στο καλάθι σας."
"There was an error processing your order. Please contact us or try again later.","Υπήρξε ένα σφάλμα κατα την επεξεργασία της παραγγελίας σας. Παρακαλούμε επικοινωνήστε μαζί μας ή δοκιμάστε ξανά αργότερα."
"Fax","Φαξ"
"Load customer quote error","Φόρτωση αναφοράς σφάλματος πελάτη"
"Country","Χώρα"
"Use Billing Address","Χρήση της διεύθυνσης χρέωσης"
"Shipping Methods","Μέθοδοι Αποστολής"
"Checkout method","Μέθοδος Ολοκλήρωσης Αγορών"
"Payment Method","Μέθοδος Πληρωμής"
"Shipping Method","Μέθοδος Αποστολής"
"First Name","Όνομα"
"Product Name","Όνομα Προϊόντος"
"Based on your selection, you may be interested in the following items:","Με βάση την επιλογή σας, μπορεί να σας ενδιαφέρουν και τα ακόλουθα είδη:"
"Subtotal","Μερικό Σύνολο"
"Cart Subtotal:","Μερικό Σύνολο Κάρτας:"
"After adding a product redirect to shopping cart","Μετά την προσθήκη προϊόντος να γίνεται ανακατεύθυνση στο Καλάθι"
"Move to Wishlist","Μετακίνηση στα Επιθυμητά"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Θα λάβετε ένα email για επιβεβαίωση της παραγγελίας σας με λεπτομέρειες τής και με έναν σύνδεσμο για να παρακολουθείτε τη πρόοδό της."
"Your order has been received","Η Παραγγελία σας έχει ληφθεί"
"Maximum qty allowed for Shipping to multiple addresses is %s","Η μέγιστη επιτρεπόμενη ποσότητα για Αποστολή σε πολλαπλές διευθύνσεις είναι "
"Your Checkout Progress","Η Εξελιξη της Αγοράς σας"
"Add to Cart","Αγορά"
"Cannot remove item","Αδύνατη η αφαίρεση του προϊόντος"
"Cancel Coupon","Ακύρωση Κουπονιού"
"Shipping method has not been selected yet","Ακόμα δεν έχει επιλεγεί μέθοδος αποστολής"
"Loading next step...","Αναμονή για το επόμενο βήμα..."
"Review Order","Ανασκόπηση Παραγγελίας"
"Order Review","Ανασκόπηση Παραγγελίας"
"Review Order - %s","Ανασκόπηση Παραγγελίας - %s"
"Remove","Αφαίρεση"
"Remove Item","Αφαίρεση Προϊόντος"
"Remove Product","Αφαίρεση Προϊόντος"
"Save in address book","Αποθήκευση στο βιβλίο διευθύνσεων"
"Shipping to","Αποστολή σε"
"Send to","Αποστολή σε"
"Ship to this address","Αποστολή σε αυτήν τη διεύθυνση"
"Ship to different address","Αποστολή σε διαφορετική διεύθυνση"
"Ship to Multiple Addresses","Αποστολή σε πολλαπλές διευθύνσεις"
"Fast and easy check out","Γρήγορη και εύκολη ολοκλήρωση αγορών"
"Submitting order information...","Γίνεται υποβολή στοιχείων παραγγελίας..."
"Grand Total:","Γενικό Σύνολο:"
"Create Billing Address","Δημιουργία Διεύθυνσης Χρέωσης"
"Create Shipping Address","Δημιουργία Διεύθυνσης Αποστολής"
"Quote Lifetime (days)","Διάρκεια Εκτίμησης (ημέρες)"
"Street Address","Διεύθυνση"
"Address","Διεύθυνση"
"Address %s of %s","Διεύθυνση %s του %s"
"Email Address","Διεύθυνση email"
"Billing Address","Διεύθυνση Χρέωσης"
"Shipping Address","Διεύθυνση Αποστολής"
"Cannot move item to wishlist","Δεν είναι δυνατή η μεταφορά του προϊόντος στα επιθυμητά"
"Cannot update shopping cart","Δεν είναι δυνατή η ενημέρωση του Καλαθιού"
"Can not apply coupon code.","Δεν είναι δυνατή η εφαρμογή του κωδικού Κουπονιού."
"Can not add item to shopping cart","Δεν είναι δυνατή η προσθήκη του προϊόντος στο Καλάθι"
"You have no items in your shopping cart.","Δεν υπάρχουν προϊόντα στο Καλάθι Αγορών σας!"
"You have no items in your cart.","Δεν υπάρχουν προϊόντα στο καλάθι σας"
"Payment method is not defined","Δεν προσδιορίστηκε μέθοδος πληρωμής"
"Invalid data","Άκυρα δεδομένα"
"Invalid shipping method.","Άκυρη Μέθοδος Αποστολής."
"Easy access to your order history and status","Εύκολη πρόσβαση στη κατάσταση και στο ιστορικό των παραγγελιών σας"
"Recently added item(s)","Είδη που προστέθηκαν πρόσφατα"
"Login","Είσοδος"
"Already registered?","Είστε ήδη εγγεγραμμένος;"
"Are you sure you would like to remove this item from the shopping cart?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε αυτό το είδος από το Καλάθι;"
"Register","Εγγραφή"
"Register with us for future convenience:","Εγγραφείτε για μελλοντική ευκολία:"
"Register to Create an Account","Εγγραφείτε για να Δημιουργήσετε έναν Λογαριασμό"
"Register and save time!","Εγγραφείτε και γλιτώστε χρόνο!"
"Grouped product image","Εικόνα Ομαδοποιημένου Προϊόντος"
"Configurable product image","Εικόνα Διαμορφώσιμου Προϊόντος"
"Enter your coupon code if you have one.","Εισάγετε το κωδικό του κουπονιού σας εάν έχετε."
"Enter your destination to get a shipping estimate.","Εισάγετε τον προορισμό σας για να πάρετε μια εκτίμηση μεταφορικών."
"Enter a New Address","Εισαγωγή Νέας Διεύθυνσης"
"Estimate Shipping and Tax","Εκτιμηση Μεταφορικων και Φορων"
"Display item quantities","Εμφάνιση Ποσότητας Προϊόντων"
"Display Cart Summary","Εμφάνιση Περίληψης Καλαθιού"
"Display number of items in cart","Εμφάνιση Αριθμών Προϊόντων στο Καλάθι"
"Update Shopping Cart","Ενημέρωση Καλαθιού Αγορών"
"Update Total","Ενημέρωση Συνόλου"
"Update Qty &amp; Addresses","Ενημέρωση ποσοτήτων &amp; Διευθύνσεων"
"Company","Εταιρεία"
"Apply Coupon","Εφαρμογή Κουπονιού"
"Thank you for your purchase!","Ευχαριστούμε για την παραγγελία σας!"
"Last Name","Επίθετο"
"Confirm Password","Επιβεβαίωση Κωδικού"
"Select a shipping address from your address book or enter a new address.","Επιλέξτε μία διεύθυνση αποστολής από το βιβλίο διευθύνσεων σας ή εισάγετε μία νέα διεύθυνση."
"Select a billing address from your address book or enter a new address.","Επιλέξτε μία διεύθυνση χρέωσης από το βιβλίο διευθύνσεων σας ή εισάγετε μία νέα διεύθυνση."
"Checkout Options","Επιλογές Ολοκλήρωσης Αγορών"
"Select State/Province...","Επιλογή Νομού/Δήμου..."
"Select Shipping Method","Επιλογή Μεθόδου Αποστολής"
"Select Address","Επιλογή Διεύθυνσης"
"Select Addresses","Επιλογή Διευθύνσεων"
"Back to Shipping Information","Επιστροφή στις Πληροφορίες Αποστολής"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Επεξεργαζόμαστε την παραγγελία σας και σύντομα θα λάβετε ένα email με τις λεπτομέρειες της αγοράς σας. Μόλις η παραγγελία σας αποσταλεί θα λάβετε ένα νέο email με έναν σύνδεσμο για να παρακολουθείτε την πρόοδό της."
"Edit","Επεξεργασία"
"Change Billing Address","Επεξεργασία"
"Change Payment Method","Επεξεργασία"
"Change Shipping Address","Επεξεργασία"
"Change Shipping Method","Επεξεργασία"
"Edit Your Cart","Επεξεργασία Καλαθιού"
"Edit Items","Επεξεργασία Προϊόντος"
"Edit Address","Επεξεργασία Διεύθυνσης"
"Edit Billing Address","Επεξεργασία Διεύθυνσης Χρέωσης"
"Edit Shipping Address","Επεξεργασία Διεύθυνσης Αποστολής"
